time_medstack,O18_medstack,C13_medstack
956,-0.7,0.1
957,-0.45,0.33
958,-0.07,0.57
959,0.17,0.8
960,0.38,0.82
961,0.67,0.85
962,0.96,0.88
963,1.04,0.91
964,1.06,0.95
965,1.04,0.98
966,0.99,0.97
967,0.84,0.95
968,0.69,0.94
969,0.54,0.92
970,0.22,0.88
971,-0.22,0.81
972,-0.12,0.75
973,-0.04,0.7
974,-0.14,0.75
975,-0.24,0.79
976,-0.34,0.84
977,-0.37,0.85
978,0.14,0.81
979,0.65,0.76
980,0.95,0.76
981,1.17,0.81
982,1.38,0.86
983,1.15,0.94
984,0.86,1.03
985,0.68,1.1
986,0.6,1.13
987,0.52,1.16
988,0.45,1.19
989,0.36,1.17
990,0.36,1.12
991,0.47,1.06
992,0.6,1.01
993,0.14,0.95
994,-0.32,0.9
995,-0.42,0.91
996,-0.18,0.91
997,0.07,0.91
998,0.31,0.9
999,0.56,0.9
1000,0.7,0.84
1001,0.85,0.77
1002,0.98,0.74
1003,1.09,0.73
1004,0.78,0.77
1005,0.6,0.84
1006,0.73,0.91
1007,0.91,0.98
1008,1.02,1.1
1009,1.08,1.08
1010,1.13,1.05
1011,0.99,1.03
1012,0.59,0.94
1013,0.36,0.9
1014,0.38,0.92
1015,0.4,0.94
1016,0.6,1
1017,0.79,1.06
1018,0.73,1.09
1019,0.63,1.11
1020,0.08,1.07
1021,-0.49,1.03
1022,-0.7,0.99
1023,-0.11,0.96
1024,0.1,0.93
1025,0.19,0.9
1026,0.06,0.86
1027,-0.02,0.83
1028,0.24,0.8
1029,0.5,0.77
1030,0.67,0.74
1031,0.76,0.7
1032,0.78,0.63
1033,0.78,0.59
1034,0.78,0.56
1035,0.77,0.54
1036,0.75,0.52
1037,0.76,0.51
1038,0.73,0.51
1039,0.64,0.54
1040,0.64,0.57
1041,0.64,0.6
1042,0.63,0.64
1043,0.61,0.69
1044,0.59,0.74
1045,0.57,0.79
1046,0.54,0.74
1047,0.8,0.72
1048,1.09,0.7
1049,1.17,0.72
1050,1.07,0.8
1051,1.04,0.85
1052,1.07,0.85
1053,1.1,0.86
1054,0.92,0.83
1055,0.7,0.8
1056,0.55,0.8
1057,0.46,0.84
1058,0.46,0.88
1059,0.51,0.92
1060,0.54,0.96
1061,0.45,1.02
1062,0.36,1.09
1063,0.09,1.15
1064,-0.29,1.22
1065,-0.57,1.26
1066,-0.53,1.25
1067,-0.6,1.22
1068,-0.93,1.11
1069,-1.1,1
1070,-1.27,0.9
1071,-1.43,0.79
1072,-1.24,0.79
1073,-0.96,0.83
1074,-0.66,0.86
1075,-0.13,0.89
1076,0.21,0.88
1077,0.3,0.82
1078,0.4,0.76
1079,0.49,0.7
1080,0.6,0.64
1081,0.76,0.6
1082,0.83,0.6
1083,0.84,0.59
1084,0.71,0.59
1085,0.57,0.56
1086,0.46,0.32
1087,0.34,0.09
1088,-0.22,0.04
1089,-0.7,0.04
1090,-0.25,0.15
1091,0.21,0.26
1092,0.97,0.37
1093,1.59,0.42
1094,1.11,0.6
1095,0.68,0.78
1096,0.73,0.96
1097,0.61,1.09
1098,0.9,1.08
1099,1.42,1.08
1100,1.13,1.1
1101,0.82,1.08
1102,0.54,1.03
1103,0.41,0.97
1104,0.37,0.91
1105,0.46,0.89
1106,0.56,0.85
1107,0.68,0.78
1108,0.68,0.71
1109,0.52,0.65
1110,0.53,0.53
1111,0.3,0.4
1112,-0.17,0.21
1113,-0.34,0.1
1114,-0.22,0.09
1115,-0.11,0.07
1116,0.17,0.19
1117,0.47,0.27
1118,0.85,0.35
1119,1.23,0.42
1120,1.24,0.47
1121,1.13,0.52
1122,0.75,0.57
1123,0.54,0.61
1124,0.61,0.64
1125,0.69,0.67
1126,0.73,0.7
1127,0.48,0.72
1128,0.54,0.75
1129,0.94,0.78
1130,1.07,0.82
1131,1.13,0.86
1132,1.2,0.9
1133,0.96,0.94
1134,0.62,0.99
1135,0.61,1.04
1136,0.73,1.09
1137,0.8,1.13
1138,0.88,1.18
1139,0.94,1.22
1140,0.79,1.12
1141,0.62,1
1142,0.19,0.88
1143,-0.17,1.15
1144,0.24,1.24
1145,0.66,1.33
1146,1.03,1.42
1147,0.67,1.42
1148,0.31,1.43
1149,0.66,1.43
1150,0.73,1.4
1151,0.69,1.36
1152,0.65,1.32
1153,0.61,1.28
1154,0.55,1.22
1155,0.52,1.16
1156,0.56,1.1
1157,0.47,0.96
1158,0.38,0.83
1159,0.3,0.69
1160,0.29,0.41
1161,0.31,0.05
1162,-0.06,-0.3
1163,-0.67,-0.39
1164,-0.56,0.05
1165,-0.45,0.5
1166,-0.02,0.95
1167,0.01,1.08
1168,0.01,1.02
1169,0.02,0.95
1170,0.03,0.93
1171,0.04,0.97
1172,-0.35,1.02
1173,-0.19,1.06
1174,-0.03,1.05
1175,0.13,1.03
1176,0.3,1.02
1177,0.46,0.97
1178,0.21,0.92
1179,0.09,0.86
1180,0.06,0.64
1181,0.04,0.23
1182,0.01,0.19
1183,-0.01,0.49
1184,-0.04,0.17
1185,-0.02,0.16
1186,0.2,0.48
1187,0.43,0.8
1188,0.59,0.86
1189,0.63,0.91
1190,0.67,0.97
1191,0.72,1.02
1192,0.76,1.06
1193,0.81,1.02
1194,0.87,0.99
1195,0.93,0.95
1196,0.99,0.93
1197,1.05,0.96
1198,1.11,0.98
1199,1.17,1.01
1200,1.17,0.98
1201,1.14,0.91
1202,1.11,0.84
1203,1.08,0.77
1204,1.05,0.79
1205,1.02,0.88
1206,0.99,0.97
1207,0.98,1.07
1208,1,1
1209,1.03,0.91
1210,1.05,0.83
1211,1.08,0.77
1212,0.85,1.03
1213,1.01,1.03
1214,1.16,1.03
1215,1.31,1.03
1216,1.46,1.02
1217,1.29,1.08
1218,1.03,1.15
1219,0.65,1.24
1220,0.31,1.29
1221,0.14,1.24
1222,-0.03,1.25
1223,-0.2,1.15
1224,-0.32,1.14
1225,-0.39,1.21
1226,-0.28,1.26
1227,-0.17,1.27
1228,-0.12,1.27
1229,-0.08,1.36
1230,-0.05,1.45
1231,-0.11,1.44
1232,-0.2,1.42
1233,-0.23,1.39
1234,-0.2,1.37
1235,-0.17,1.37
1236,-0.14,1.37
1237,-0.11,1.31
1238,-0.08,1.23
1239,-0.07,1.2
1240,-0.06,1.17
1241,0.01,1.19
1242,0.09,1.22
1243,0.43,1.21
1244,0.77,1.18
1245,1.13,1.13
1246,1.46,1.1
1247,1.59,1
1248,1.65,0.97
1249,1.69,0.93
1250,1.72,0.89
1251,1.76,0.91
1252,1.69,0.93
1253,1.47,0.95
1254,1.11,0.84
1255,0.79,0.92
1256,0.54,1
1257,0.35,1.11
1258,0.34,1.19
1259,0.4,1.39
1260,0.51,1.58
1261,0.55,1.61
1262,0.54,1.51
1263,0.45,1.34
1264,0.36,1.21
1265,0.47,1.25
1266,0.71,1.31
1267,0.98,1.37
1268,1.09,1.37
1269,0.99,1.3
1270,0.88,1.23
1271,0.8,1.14
1272,0.78,1.06
1273,0.8,1.01
1274,0.88,0.94
1275,0.97,0.86
1276,0.76,0.8
1277,0.43,0.85
1278,0.1,0.87
1279,-0.18,1.02
1280,-0.11,0.97
1281,0.1,0.93
1282,0.29,1.05
1283,0.45,1.17
1284,0.6,1.29
1285,0.75,1.41
1286,0.9,1.49
1287,1.04,1.54
1288,1.19,1.59
1289,1.33,1.64
1290,1.47,1.68
1291,1.48,1.69
1292,1.49,1.64
1293,1.45,1.7
1294,1.41,1.79
1295,1.37,1.83
1296,1.35,1.82
1297,1.34,1.81
1298,1.28,1.8
1299,1.18,1.81
1300,1.08,1.82
1301,0.98,1.83
1302,0.85,1.74
1303,0.78,1.54
1304,0.81,1.42
1305,0.83,1.41
1306,0.78,1.41
1307,0.74,1.01
1308,0.69,0.94
1309,0.61,0.96
1310,0.54,1
1311,0.1,0.91
1312,-0.34,0.81
1313,-0.4,0.71
1314,-0.37,0.61
1315,-0.33,0.71
1316,-0.03,0.79
1317,0.3,0.87
1318,0.47,0.99
1319,0.64,1
1320,0.72,1
1321,0.67,1
1322,0.61,1
1323,0.64,1.06
1324,0.67,1.08
1325,0.69,1.1
1326,0.68,1.11
1327,0.63,1.14
1328,0.58,1.18
1329,0.5,1.21
1330,0.35,1.21
1331,0.19,1.16
1332,-0.01,1.11
1333,-0.2,1.06
1334,-0.4,1.01
1335,-0.45,1.04
1336,-0.42,1.11
1337,-0.39,1.18
