MS_depth,age_kabp_MS,MS
283.336,764.5017,114.9
283.371,764.601,111.1
283.411,764.7168,104.1
283.456,764.8377,165.9
283.496,764.9478,175
283.536,765.0615,169.5
283.563,765.13645,165.2
283.616,765.2803,130.2
283.656,765.3892,114
283.696,765.4982,219.1
283.736,765.608,155.1
283.781,765.7324,146.6
283.816,765.8297,137.8
283.856,765.9373,149.8
283.891,766.0346,145
283.941,766.1734,273.2
283.981,766.2887,164.2
284.016,766.3861,134.9
284.053,766.51875,101.6
284.103,766.626,106.3
284.148,766.7499,319.8
284.183,766.8465,236.1
284.218,766.9444,196.5
284.268,767.0868,155.2
284.303,767.1847,141.1
284.343,767.2991,126.2
284.383,767.4041,141.2
284.428,767.5334,130.1
284.463,767.6268,120.7
284.543,767.8519,122.7
284.583,767.9602,117.4
284.613,768.0457,117.2
284.668,768.2026,90.7
284.698,768.2837,98.5
284.748,768.4246,99.3
284.783,768.5184,105.9
284.823,768.6337,114.1
284.858,768.7301,95.7
284.908,768.863,100.3
284.943,768.967,105
284.983,769.0869,99.6
285.068,769.3302,108
285.103,769.428,93.8
285.143,769.5407,98.2
285.178,769.6419,119.5
285.233,769.7992,117.2
285.263,769.8821,132.7
285.308,770.0187,116.2
285.358,770.1621,109.2
285.393,770.2598,138.9
285.423,770.3469,139.8
285.463,770.4588,123.3
285.543,770.6923,113.7
285.583,770.8081,120.5
285.623,770.9218,105.4
285.648,770.9944,102.7
285.673,771.0665,94.4
285.683,771.12815,103.6
285.708,771.1964,131.5
285.733,771.2623,131.6
285.783,771.4115,138.5
285.813,771.4981,116
285.863,771.6453,164
285.893,771.7308,147.7
285.938,771.8659,148.5
285.978,771.9831,136.4
286.023,772.1176,137.6
286.048,772.1909,143.1
286.103,772.356,142.5
286.133,772.4408,129.7
286.198,772.6372,98.6
286.223,772.7142,131.1
286.303,773.0347,136.9
286.363,773.2877,119.9
286.393,773.4105,158.4
286.463,773.7025,128.8
286.513,773.9114,135.6
286.543,774.0369,125.3
286.593,774.2436,145.6
286.623,774.3695,132.7
286.668,774.552,143.8
286.703,774.6973,90.9
286.748,774.8847,102.8
286.783,775.0296,87.6
286.828,775.2145,70.5
286.858,775.3379,63.3
286.988,775.6239,126.2
287.023,775.8759,115.5
287.088,776.2854,101.7
287.153,776.5541,121
287.183,776.6752,126.9
287.228,776.8617,116.6
287.258,776.9832,113.4
287.318,777.23,109.6
287.348,777.3523,113.1
287.388,777.5174,105.6
287.478,777.8824,86.6
287.508,778.0092,94.5
287.548,778.1921,95.9
287.577,778.3421,96
287.632,778.6136,78.8
287.662,778.7594,73.5
287.707,778.9765,74.5
287.737,779.1284,74.7
287.797,779.4242,80.9
287.822,779.5445,77.5
287.857,779.7198,74.1
287.952,780.1898,70.2
287.982,780.3378,63.3
288.027,780.5589,65.9
288.057,780.7072,63.2
288.112,780.9789,68.9
288.137,781.1015,64
288.182,781.3239,63.3
288.212,781.4705,61.6
288.262,781.7162,52.5
288.292,781.8636,60.6
288.337,782.0845,57.1
288.422,782.508,36.1
288.457,782.6787,47.6
288.502,782.8999,51.9
288.532,783.049,52.9
288.592,783.3383,42.2
288.622,783.4856,45.4
288.667,783.7059,52.1
288.697,783.8529,53.5
288.747,784.0988,56.5
288.777,784.2425,55.1
288.817,784.4406,52.8
288.907,784.8117,60.7
288.937,784.9456,56.3
288.982,785.1295,57.5
289.017,785.2802,49.1
289.067,785.4899,59.7
289.102,785.6358,57.9
289.142,785.8084,51.8
289.172,785.9283,58
289.227,786.1628,66
289.257,786.2864,67.8
289.302,786.4778,65.4
289.347,786.6687,69.1
289.387,786.8426,71.9
289.422,786.9903,82.4
289.462,787.1619,84.3
289.502,787.334,83.5
289.547,787.5249,98.2
289.577,787.6518,118.5
289.622,787.845,193.2
289.657,787.9964,468.1
289.707,788.2113,117.3
289.737,788.3345,129.7
289.847,788.814,219.6
289.858,788.8495,382.4
289.898,789.0156,216.7
289.938,789.1879,153.2
289.973,789.3406,151.4
290.033,789.5938,135.1
290.063,789.7214,106.3
290.108,789.9086,166.3
290.138,790.0106,325.4
290.188,790.1477,139.7
290.218,790.2294,256
290.373,790.6539,115.7
290.423,790.7922,130.1
290.458,790.8884,168.2
290.513,791.042,232.4
290.538,791.1137,172.7
290.668,791.4764,161.6
290.698,791.5594,267
290.738,791.6715,170.3
290.828,791.9227,243.5
290.863,792.0224,194
290.938,792.2266,165.3
290.988,792.3672,199
291.023,792.4599,206.7
291.062,792.5696,246
291.087,792.6396,235
291.142,792.7905,232.3
291.172,792.8685,220.3
291.212,792.9815,169.7
291.307,793.2391,190
291.337,793.3194,174.2
291.382,793.443,195.6
291.462,793.7146,198.2
291.497,793.8624,183.3
291.542,794.0429,196.8
291.572,794.1709,230.2
291.627,794.3966,214.7
291.662,794.542,260.5
291.702,794.7069,243.7
291.787,795.063,258.6
291.812,795.1706,248
291.862,795.3795,244.7
291.897,795.5257,242.8
291.947,795.7329,283.9
291.977,795.8578,280.6
292.027,796.0644,190.9
292.057,796.187,186.9
292.102,796.3705,174.5
292.142,796.5364,153.8
292.177,796.6826,197.6
292.267,797.0533,201.3
292.292,797.1573,238.4
292.357,797.4264,336
292.379,797.5227,194.6
292.429,797.7304,163.5
292.459,797.85285,177.2
292.499,798.0185,162.9
292.539,798.1839,178.4
292.589,798.3874,153.4
292.624,798.53375,211.9
292.683,798.75455,194.7
292.749,799.0421,198
292.779,799.1635,185.6
292.824,799.3463,204.9
292.859,799.4857,201.4
292.914,799.7089,230.8
292.944,799.8331,198.5
292.984,799.9905,197.4
293.019,800.1365,193.4
293.069,800.3391,155.7
